date,bill_number,total,paid_cash,paid_card,paid_customer_card,user
04.01.2018,47060,"92,72","92,72",,,Alex
04.01.2018,47220,"19,88",,,"19,88",Marie
04.01.2018,47409,"54,95","54,95",,,Anna
04.01.2018,47502,"42,38","42,38",,,Anna
04.01.2018,47627,"76,13","76,13",,,Alex
04.01.2018,47665,"22,32","22,32",,,Alex
04.01.2018,47789,"97,45","97,45",,,Alex
04.01.2018,47880,"68,54","68,54",,,Alex
04.01.2018,47949,"58,5",,"58,5",,Alex
04.01.2018,48429,"51,98","51,98",,,Alex
04.01.2018,48565,"62,69","62,69",,,Marie
04.01.2018,48696,"79,28",,"79,28",,Marie
04.01.2018,48846,"27,8",,,"27,8",Alex
04.01.2018,48886,"111,42","111,42",,,Marie
04.01.2018,49212,"16,1","16,1",,,Anna
04.01.2018,49223,"48,11","48,11",,,Anna
04.01.2018,49405,"72,74","72,74",,,Alex
04.01.2018,49708,"97,81","97,81",,,Alex
04.01.2018,49730,"57,05","57,05",,,Alex
04.01.2018,49849,"62,64","62,64",,,Alex
05.01.2018,49935,"56,83",,"56,83",,Alex
05.01.2018,49947,"118,3","118,3",,,Alex
05.01.2018,49963,"14,19",,,"14,19",Marie
05.01.2018,50014,"4,78",,,"4,78",Marie
05.01.2018,50065,"68,07","68,07",,,Alex
05.01.2018,50072,"101,65","101,65",,,Marie
05.01.2018,50129,"84,55","84,55",,,Anna
05.01.2018,50350,"97,64",,"97,64",,Anna
05.01.2018,50530,"34,06","34,06",,,Alex
05.01.2018,50690,"104,63","104,63",,,Alex
05.01.2018,50818,"114,89",,"114,89",,Alex
05.01.2018,50891,"15,44",,,"15,44",Alex
05.01.2018,50969,"111,15",,"111,15",,Alex
05.01.2018,51098,"65,38",,"65,38",,Alex
05.01.2018,51145,"40,43",,"40,43",,Marie
05.01.2018,51149,"52,86",,"52,86",,Marie
05.01.2018,51173,"53,31","53,31",,,Alex
05.01.2018,51541,"49,87","49,87",,,Marie
05.01.2018,51639,"40,7","40,7",,,Anna
05.01.2018,51944,"86,99",,"86,99",,Anna
05.01.2018,52008,"66,53",,"66,53",,Alex
05.01.2018,52021,"10,09",,,"10,09",Alex
05.01.2018,52192,"78,85",,"78,85",,Alex
05.01.2018,52210,"1,06",,,"1,06",Alex
05.01.2018,52476,"97,22","97,22",,,Alex
05.01.2018,52678,"5,15",,,"5,15",Alex
05.01.2018,52778,"74,64","74,64",,,Marie
05.01.2018,52795,"16,85",,"16,85",,Marie
05.01.2018,52855,"72,36","72,36",,,Alex
05.01.2018,53023,"80,4","80,4",,,Marie
06.01.2018,53144,"11,87","11,87",,,Anna
06.01.2018,53215,"111,24","111,24",,,Anna
06.01.2018,53225,"5,52","5,52",,,Alex
06.01.2018,53288,"66,27",,"66,27",,Alex
06.01.2018,53313,"52,69",,"52,69",,Alex
06.01.2018,53454,"28,81","28,81",,,Alex
06.01.2018,53561,"5,08","5,08",,,Alex
06.01.2018,53600,"14,37","14,37",,,Alex
06.01.2018,53701,"104,31","104,31",,,Marie
06.01.2018,53704,"46,95","46,95",,,Marie
06.01.2018,53737,"85,54","85,54",,,Alex
06.01.2018,53764,"19,34","19,34",,,Marie
06.01.2018,53897,"54,9",,"54,9",,Anna
06.01.2018,54043,"53,87","53,87",,,Anna
06.01.2018,54057,"26,33","26,33",,,Alex
06.01.2018,54108,"88,12",,"88,12",,Alex
06.01.2018,54109,"12,71","12,71",,,Alex
06.01.2018,54386,"73,82","73,82",,,Alex
06.01.2018,54394,"118,65","118,65",,,Alex
06.01.2018,54492,"24,08",,,"24,08",Alex
06.01.2018,54571,"22,39",,,"22,39",Marie
06.01.2018,54587,"12,81",,,"12,81",Marie
06.01.2018,54730,"82,25","82,25",,,Alex
06.01.2018,54843,"34,9",,"34,9",,Marie
06.01.2018,54876,"95,4",,"95,4",,Anna
06.01.2018,55035,"1,63",,"1,63",,Anna
06.01.2018,55146,"69,74","69,74",,,Alex
06.01.2018,55496,"47,4",,"47,4",,Alex
06.01.2018,55553,"61,26","61,26",,,Alex
06.01.2018,55856,"49,44","49,44",,,Alex
06.01.2018,55875,"71,4","71,4",,,Alex
06.01.2018,55970,"36,46",,,"36,46",Alex
07.01.2018,55980,"89,43","89,43",,,Marie
07.01.2018,56061,"56,41","56,41",,,Marie
07.01.2018,56067,"52,4","52,4",,,Marie
07.01.2018,56124,"93,18","93,18",,,Marie
07.01.2018,56132,"116,21","116,21",,,Marie
07.01.2018,56460,"70,56",,"70,56",,Marie
07.01.2018,56468,"2,16",,"2,16",,Marie
07.01.2018,56483,"70,91","70,91",,,Marie
07.01.2018,56509,"81,56","81,56",,,Marie
07.01.2018,56520,"65,4",,,"65,4",Marie
07.01.2018,56599,"108,37","108,37",,,Marie
07.01.2018,56733,"47,49","47,49",,,Marie
07.01.2018,57089,"101,71","101,71",,,Marie
07.01.2018,57106,"62,78","62,78",,,Marie
07.01.2018,57136,"2,88",,,"2,88",Marie
07.01.2018,57161,"26,28","26,28",,,Marie
07.01.2018,57234,"22,35",,"22,35",,Alex
07.01.2018,57454,"15,81","15,81",,,Alex
07.01.2018,57566,"87,43","87,43",,,Alex
07.01.2018,57603,"2,98",,,"2,98",Marie
07.01.2018,57705,"76,23",,"76,23",,Marie
07.01.2018,58107,"79,78","79,78",,,Alex
07.01.2018,58148,"1,11","1,11",,,Marie
07.01.2018,58235,"76,52","76,52",,,Anna
07.01.2018,58368,"118,99","118,99",,,Anna
07.01.2018,58503,"94,02","94,02",,,Alex
07.01.2018,58544,"88,97","88,97",,,Alex
07.01.2018,58547,"66,85","66,85",,,Alex
07.01.2018,58613,"15,77","15,77",,,Alex
08.01.2018,58916,"50,16",,"50,16",,Alex
08.01.2018,59221,"12,14","12,14",,,Alex
08.01.2018,59295,"104,97",,"104,97",,Marie
08.01.2018,59376,"110,83",,"110,83",,Marie
08.01.2018,59529,"95,14","95,14",,,Alex
08.01.2018,59705,"19,59","19,59",,,Alex
08.01.2018,59780,"114,75","114,75",,,Alex
08.01.2018,59808,"97,23","97,23",,,Alex
08.01.2018,59824,"79,61","79,61",,,Marie
08.01.2018,59854,"15,92","15,92",,,Marie
08.01.2018,59958,"59,64",,,"59,64",Alex
08.01.2018,59988,"3,85","3,85",,,Marie
08.01.2018,60003,"39,35","39,35",,,Anna
08.01.2018,60028,"88,15","88,15",,,Anna
08.01.2018,60054,"27,7","27,7",,,Alex
08.01.2018,60113,"16,45","16,45",,,Alex
08.01.2018,60176,"98,15","98,15",,,Alex
08.01.2018,60225,"38,32","38,32",,,Alex
08.01.2018,60507,"56,13","56,13",,,Alex
08.01.2018,60673,"8,09",,"8,09",,Alex
08.01.2018,60702,"6,92","6,92",,,Marie
08.01.2018,60756,"32,31","32,31",,,Marie
08.01.2018,60782,"80,15","80,15",,,Alex
08.01.2018,61168,"91,15","91,15",,,Alex
08.01.2018,61348,"97,04","97,04",,,Alex
08.01.2018,61542,"117,72","117,72",,,Alex
08.01.2018,61547,"61,88","61,88",,,Marie
08.01.2018,61558,"60,21","60,21",,,Marie
08.01.2018,61887,"43,12",,"43,12",,Alex
08.01.2018,61895,"111,14",,"111,14",,Marie
08.01.2018,62175,"100,67",,"100,67",,Anna
08.01.2018,62494,"26,98","26,98",,,Anna
08.01.2018,62830,"78,38","78,38",,,Alex
08.01.2018,62858,"24,49",,,"24,49",Alex
09.01.2018,62969,"26,4","26,4",,,Alex
09.01.2018,63210,"27,78","27,78",,,Alex
09.01.2018,63312,"114,28","114,28",,,Alex
09.01.2018,63365,"37,02",,,"37,02",Alex
09.01.2018,63451,"23,67","23,67",,,Marie
09.01.2018,63635,"10,33",,,"10,33",Marie
09.01.2018,63701,"26,31","26,31",,,Alex
09.01.2018,63756,"69,71","69,71",,,Alex
09.01.2018,63771,"17,1","17,1",,,Alex
09.01.2018,64053,"58,93","58,93",,,Alex
09.01.2018,64384,"94,74",,"94,74",,Marie
09.01.2018,64408,"67,61","67,61",,,Marie
09.01.2018,64467,"8,7",,"8,7",,Alex
09.01.2018,64686,"28,48","28,48",,,Marie
09.01.2018,64799,"52,64","52,64",,,Anna
09.01.2018,64851,"118,9","118,9",,,Anna
09.01.2018,65418,"69,34","69,34",,,Alex
09.01.2018,65488,"93,31","93,31",,,Alex
09.01.2018,65535,"117,71","117,71",,,Alex
09.01.2018,65594,"6,85","6,85",,,Alex
09.01.2018,65689,"8,45","8,45",,,Alex
09.01.2018,65923,"73,63","73,63",,,Alex
09.01.2018,65932,"99,87","99,87",,,Marie
09.01.2018,65948,"41,45","41,45",,,Marie
09.01.2018,66099,"97,51",,"97,51",,Alex
10.01.2018,66310,"94,93","94,93",,,Alex
10.01.2018,66383,"75,58","75,58",,,Alex
10.01.2018,66718,"32,36","32,36",,,Alex
10.01.2018,66951,"89,8","89,8",,,Marie
10.01.2018,67117,"34,15","34,15",,,Marie
10.01.2018,67217,"85,13","85,13",,,Alex
10.01.2018,67263,"27,67","27,67",,,Marie
10.01.2018,67329,"5,45",,,"5,45",Anna
10.01.2018,67383,"86,05","86,05",,,Anna
10.01.2018,67569,"79,48","79,48",,,Alex
10.01.2018,67569,"107,63","107,63",,,Alex
10.01.2018,67581,"71,37","71,37",,,Alex
10.01.2018,67602,"21,35","21,35",,,Alex
10.01.2018,67633,"80,15","80,15",,,Alex
10.01.2018,67723,"89,65",,"89,65",,Alex
10.01.2018,67854,"27,33","27,33",,,Marie
10.01.2018,67877,"19,85",,"19,85",,Marie
10.01.2018,67978,"102,05","102,05",,,Alex
10.01.2018,68030,"114,7","114,7",,,Alex
10.01.2018,68046,"83,01","83,01",,,Alex
10.01.2018,68076,"33,9",,,"33,9",Alex
10.01.2018,68123,"48,09",,"48,09",,Marie
10.01.2018,68165,"17,35","17,35",,,Marie
10.01.2018,68226,"81,95","81,95",,,Alex
10.01.2018,68560,"28,55",,"28,55",,Marie
10.01.2018,68572,"33,85","33,85",,,Anna
10.01.2018,68655,"47,39",,,"47,39",Anna
10.01.2018,68724,"48,57",,"48,57",,Alex
10.01.2018,68923,"39,44","39,44",,,Alex
10.01.2018,68995,"42,33","42,33",,,Alex
10.01.2018,69010,"25,08",,"25,08",,Alex
10.01.2018,69118,"92,73",,"92,73",,Alex
10.01.2018,69120,"87,12",,"87,12",,Alex
10.01.2018,69232,"69,97","69,97",,,Marie
10.01.2018,69242,"96,89","96,89",,,Marie
10.01.2018,69373,"77,65","77,65",,,Alex
10.01.2018,69692,"115,73",,"115,73",,Alex
10.01.2018,69700,"105,35",,"105,35",,Alex
10.01.2018,69917,"23,7","23,7",,,Alex
11.01.2018,69968,"79,48",,"79,48",,Marie
11.01.2018,70018,"25,13","25,13",,,Marie
11.01.2018,70132,"78,84","78,84",,,Alex
11.01.2018,70189,"1,05","1,05",,,Marie
11.01.2018,70328,"5,96","5,96",,,Anna
11.01.2018,70429,"41,11","41,11",,,Anna
11.01.2018,70438,"77,04","77,04",,,Alex
11.01.2018,70543,"14,44","14,44",,,Alex
11.01.2018,70759,"99,82","99,82",,,Alex
11.01.2018,70877,"119,88","119,88",,,Alex
11.01.2018,70938,"71,18","71,18",,,Alex
11.01.2018,71030,"19,52","19,52",,,Alex
11.01.2018,71270,"114,08","114,08",,,Marie
11.01.2018,71302,"43,66",,"43,66",,Marie
11.01.2018,71454,"91,09","91,09",,,Alex
11.01.2018,71489,"92,81","92,81",,,Alex
11.01.2018,71616,"26,42",,"26,42",,Alex
11.01.2018,71855,"97,72","97,72",,,Alex
11.01.2018,72009,"19,86","19,86",,,Marie
11.01.2018,72051,"7,84","7,84",,,Marie
11.01.2018,72105,"50,71","50,71",,,Alex
11.01.2018,72373,"3,85","3,85",,,Marie
11.01.2018,72520,"89,36",,"89,36",,Anna
11.01.2018,73017,"16,88",,"16,88",,Anna
11.01.2018,73152,"89,44","89,44",,,Alex
11.01.2018,73404,"116,09","116,09",,,Alex
11.01.2018,73715,"54,49","54,49",,,Alex
11.01.2018,73787,"50,23","50,23",,,Alex
11.01.2018,73820,"86,51","86,51",,,Alex
12.01.2018,73936,"31,1","31,1",,,Alex
12.01.2018,73961,"39,26","39,26",,,Marie
12.01.2018,74123,"11,89","11,89",,,Marie
12.01.2018,74136,"112,18","112,18",,,Alex
12.01.2018,74213,"75,76",,"75,76",,Alex
12.01.2018,74313,"85,08",,"85,08",,Alex
12.01.2018,74574,"32,77","32,77",,,Alex
12.01.2018,74668,"117,36","117,36",,,Marie
12.01.2018,74678,"51,3","51,3",,,Marie
12.01.2018,74776,"98,35",,"98,35",,Alex
12.01.2018,74795,"108,62","108,62",,,Marie
12.01.2018,74851,"65,97",,"65,97",,Anna
12.01.2018,74891,"110,18","110,18",,,Anna
12.01.2018,75034,"89,65","89,65",,,Alex
12.01.2018,75037,"89,32","89,32",,,Alex
12.01.2018,75123,"97,05",,"97,05",,Alex
12.01.2018,75241,"25,32","25,32",,,Alex
12.01.2018,75373,"5,93",,"5,93",,Alex
12.01.2018,75414,"13,13",,,"13,13",Alex
12.01.2018,75422,"98,14","98,14",,,Marie
12.01.2018,75626,"118,96",,"118,96",,Marie
12.01.2018,75694,"3,15",,,"3,15",Alex
12.01.2018,76018,"13,39","13,39",,,Alex
12.01.2018,76093,"76,55",,,"76,55",Alex
12.01.2018,76160,"58,82",,"58,82",,Alex
12.01.2018,76185,"33,47",,"33,47",,Marie
12.01.2018,76345,"104,83","104,83",,,Marie
12.01.2018,76394,"53,35",,"53,35",,Alex
12.01.2018,76405,"54,24","54,24",,,Marie
12.01.2018,76729,"114,39",,"114,39",,Anna
12.01.2018,76749,"79,39",,"79,39",,Anna
12.01.2018,76759,"116,3","116,3",,,Alex
12.01.2018,76807,"93,27",,"93,27",,Alex
12.01.2018,76842,"9,29","9,29",,,Alex
12.01.2018,77068,119,119,,,Alex
12.01.2018,77098,"30,91","30,91",,,Alex
13.01.2018,77133,"17,2","17,2",,,Alex
13.01.2018,77228,"93,75","93,75",,,Marie
13.01.2018,77235,"89,05","89,05",,,Marie
13.01.2018,77247,"41,21",,"41,21",,Alex
13.01.2018,77458,"58,29","58,29",,,Alex
13.01.2018,77645,"87,67","87,67",,,Alex
13.01.2018,77746,"25,89","25,89",,,Alex
13.01.2018,77810,"80,85","80,85",,,Alex
13.01.2018,77878,"32,35","32,35",,,Alex
13.01.2018,78356,"10,21","10,21",,,Marie
13.01.2018,78410,"37,72","37,72",,,Marie
13.01.2018,78492,"8,91","8,91",,,Alex
13.01.2018,78563,"61,39","61,39",,,Marie
13.01.2018,78607,"69,78","69,78",,,Anna
13.01.2018,78689,"5,18","5,18",,,Anna
13.01.2018,78735,"14,53","14,53",,,Alex
13.01.2018,78749,"37,22","37,22",,,Alex
13.01.2018,78842,"44,71","44,71",,,Alex
13.01.2018,78859,"19,77",,,"19,77",Alex
13.01.2018,78941,"39,9",,"39,9",,Alex
13.01.2018,78965,"25,77","25,77",,,Alex
13.01.2018,79030,"87,8",,,"87,8",Marie
13.01.2018,79348,"84,77",,,"84,77",Marie
13.01.2018,79417,"102,51","102,51",,,Alex
13.01.2018,79546,"59,49","59,49",,,Alex
13.01.2018,79808,"1,97","1,97",,,Alex
13.01.2018,79849,"8,07","8,07",,,Alex
13.01.2018,79921,"20,57","20,57",,,Marie
13.01.2018,79926,"63,79","63,79",,,Marie
13.01.2018,80161,"5,73",,"5,73",,Alex
13.01.2018,80295,"55,7","55,7",,,Marie
13.01.2018,80445,"68,29","68,29",,,Anna
13.01.2018,80521,"29,17","29,17",,,Anna
13.01.2018,80737,"99,05",,"99,05",,Alex
13.01.2018,80780,"87,1",,"87,1",,Alex
13.01.2018,80961,"61,29","61,29",,,Alex
13.01.2018,80976,"16,3","16,3",,,Alex
13.01.2018,80996,"97,66","97,66",,,Alex
13.01.2018,81001,"69,01","69,01",,,Alex
13.01.2018,81155,"69,01","69,01",,,Marie
14.01.2018,81246,"6,35",,,"6,35",Marie
14.01.2018,81304,"29,32","29,32",,,Alex
14.01.2018,81444,"79,42","79,42",,,Alex
14.01.2018,81699,"10,4","10,4",,,Alex
14.01.2018,81744,"118,43","118,43",,,Alex
14.01.2018,81822,"10,22","10,22",,,Marie
14.01.2018,81980,"60,43","60,43",,,Marie
14.01.2018,82057,"75,71",,"75,71",,Alex
14.01.2018,82146,"60,55",,"60,55",,Marie
14.01.2018,82159,"47,61","47,61",,,Anna
14.01.2018,82221,"35,02","35,02",,,Anna
14.01.2018,82357,"43,08",,"43,08",,Alex
14.01.2018,82391,39,39,,,Alex
14.01.2018,82431,"93,13","93,13",,,Alex
14.01.2018,82700,"4,83","4,83",,,Alex
14.01.2018,82730,"1,82","1,82",,,Alex
14.01.2018,82962,"93,21","93,21",,,Alex
14.01.2018,82971,"119,59","119,59",,,Marie
14.01.2018,83116,"55,86",,"55,86",,Marie
14.01.2018,83150,"62,92","62,92",,,Alex
14.01.2018,83315,"3,91","3,91",,,Alex
14.01.2018,83597,"19,35","19,35",,,Alex
14.01.2018,83803,"38,95","38,95",,,Alex
14.01.2018,83821,"106,78","106,78",,,Marie
14.01.2018,83975,"118,88","118,88",,,Marie
14.01.2018,84081,"109,83","109,83",,,Alex
14.01.2018,84085,"74,19","74,19",,,Marie
14.01.2018,84163,"39,6","39,6",,,Anna
14.01.2018,84204,"7,75",,,"7,75",Anna
14.01.2018,84241,"63,99","63,99",,,Alex
14.01.2018,84244,"51,39",,"51,39",,Alex
14.01.2018,84380,"13,98","13,98",,,Alex
14.01.2018,84430,"100,6","100,6",,,Alex
14.01.2018,84449,"6,18","6,18",,,Alex
14.01.2018,84502,"45,75",,"45,75",,Alex
14.01.2018,84647,"40,43","40,43",,,Marie
14.01.2018,84706,"71,52","71,52",,,Marie
14.01.2018,84710,"59,46",,"59,46",,Alex
14.01.2018,84712,"71,82",,"71,82",,Alex
14.01.2018,84890,"9,61",,,"9,61",Alex
14.01.2018,84948,"42,36","42,36",,,Alex
14.01.2018,84993,"10,39","10,39",,,Marie
14.01.2018,85104,"8,51",,,"8,51",Marie
14.01.2018,85114,"12,54",,,"12,54",Alex
15.01.2018,85114,"72,94","72,94",,,Marie
15.01.2018,85129,"98,66","98,66",,,Anna
15.01.2018,85171,"5,2",,,"5,2",Anna
15.01.2018,85197,"97,03",,"97,03",,Alex
15.01.2018,85205,"72,51",,"72,51",,Alex
15.01.2018,85300,"48,62","48,62",,,Alex
15.01.2018,85335,"12,69","12,69",,,Alex
15.01.2018,85355,"45,07",,"45,07",,Alex
15.01.2018,85404,"93,55",,"93,55",,Alex
15.01.2018,85407,"77,86","77,86",,,Marie
15.01.2018,85529,"31,57","31,57",,,Marie
15.01.2018,85577,"100,74","100,74",,,Alex
15.01.2018,85818,"18,23","18,23",,,Alex
15.01.2018,85876,"115,89","115,89",,,Alex
15.01.2018,86169,"1,7","1,7",,,Alex
15.01.2018,86193,"18,75","18,75",,,Marie
15.01.2018,86310,"28,12",,"28,12",,Marie
15.01.2018,86388,"44,55",,"44,55",,Alex
15.01.2018,86677,"24,53",,"24,53",,Marie
15.01.2018,86767,"20,04","20,04",,,Anna
15.01.2018,86880,"10,47","10,47",,,Anna
15.01.2018,87041,49,49,,,Alex
15.01.2018,87115,"66,95","66,95",,,Alex
15.01.2018,87225,"44,53","44,53",,,Alex
15.01.2018,87257,"5,94",,"5,94",,Alex
15.01.2018,87512,"36,07","36,07",,,Alex
15.01.2018,87589,"42,25",,,"42,25",Alex
15.01.2018,87678,"49,65","49,65",,,Marie
15.01.2018,87951,"85,29","85,29",,,Marie
15.01.2018,87954,"14,58","14,58",,,Alex
16.01.2018,87987,"89,04","89,04",,,Alex
16.01.2018,88138,"95,58","95,58",,,Alex
16.01.2018,88139,"79,9",,"79,9",,Alex
16.01.2018,88194,"5,07","5,07",,,Marie
16.01.2018,88344,"114,26","114,26",,,Marie
16.01.2018,88425,"117,19","117,19",,,Alex
16.01.2018,88468,"44,63","44,63",,,Marie
16.01.2018,88595,"21,35","21,35",,,Anna
16.01.2018,88667,"72,14","72,14",,,Anna
16.01.2018,88798,"108,92","108,92",,,Alex
16.01.2018,88853,"59,71",,"59,71",,Alex
16.01.2018,88943,"91,49","91,49",,,Alex
16.01.2018,89353,"25,96","25,96",,,Alex
16.01.2018,89375,"39,89",,,"39,89",Alex
16.01.2018,89380,"77,59","77,59",,,Alex
16.01.2018,89396,"68,81","68,81",,,Marie
16.01.2018,89443,"71,83","71,83",,,Marie
16.01.2018,89499,"116,78","116,78",,,Alex
16.01.2018,89536,"27,63","27,63",,,Alex
16.01.2018,89585,"26,79","26,79",,,Alex
16.01.2018,89604,"35,88","35,88",,,Alex
16.01.2018,89809,"10,11","10,11",,,Marie
16.01.2018,89900,"33,87","33,87",,,Marie
16.01.2018,89962,"34,39","34,39",,,Alex
16.01.2018,90297,"64,03","64,03",,,Marie
16.01.2018,90473,"55,68","55,68",,,Anna
16.01.2018,90476,"60,17",,"60,17",,Anna
16.01.2018,90487,"82,7","82,7",,,Alex
16.01.2018,90664,"86,6","86,6",,,Alex
16.01.2018,91024,"32,88","32,88",,,Alex
16.01.2018,91435,"107,76","107,76",,,Alex
16.01.2018,91647,"114,41","114,41",,,Alex
16.01.2018,91866,"42,69","42,69",,,Alex
16.01.2018,92011,"108,35","108,35",,,Marie
16.01.2018,92141,"105,02","105,02",,,Marie
16.01.2018,92355,"46,54","46,54",,,Alex
17.01.2018,92462,"90,14","90,14",,,Alex
17.01.2018,92490,"31,66","31,66",,,Alex
17.01.2018,92515,"65,39",,"65,39",,Alex
17.01.2018,92536,"50,32","50,32",,,Marie
