date,bill_number,total,paid_cash,paid_card,paid_customer_card,user
04.02.2018,135423,"90,18",,"90,18",,Marie
04.02.2018,135424,"108,92",,"108,92",,Marie
04.02.2018,135425,"18,47","18,47",,,Marie
04.02.2018,135426,"43,29","43,29",,,Anna
04.02.2018,135427,"85,35","85,35",,,Anna
04.02.2018,135428,"32,28","32,28",,,Marie
04.02.2018,135429,"37,87","37,87",,,Anna
04.02.2018,135430,"78,87",,"78,87",,Alex
04.02.2018,135431,"29,5","29,5",,,Alex
04.02.2018,135432,"113,01","113,01",,,Alex
04.02.2018,135433,"52,51",,"52,51",,Marie
04.02.2018,135434,"15,65","15,65",,,Anna
04.02.2018,135435,"100,04",,"100,04",,Marie
04.02.2018,135436,"41,94","41,94",,,Marie
04.02.2018,135437,"23,13","23,13",,,Marie
04.02.2018,135438,"62,67","62,67",,,Marie
04.02.2018,135439,"53,95","53,95",,,Alex
04.02.2018,135440,"59,47","59,47",,,Anna
04.02.2018,135441,"76,89","76,89",,,Anna
04.02.2018,135442,"22,42","22,42",,,Anna
04.02.2018,135443,"53,65","53,65",,,Anna
04.02.2018,135444,"47,8","47,8",,,Alex
04.02.2018,135445,"14,79","14,79",,,Alex
04.02.2018,135446,"65,49",,"65,49",,Alex
04.02.2018,135447,"61,79","61,79",,,Marie
04.02.2018,135448,"14,27","14,27",,,Marie
04.02.2018,135449,"87,79",,"87,79",,Marie
04.02.2018,135450,"50,18","50,18",,,Marie
04.02.2018,135451,"105,45","105,45",,,Marie
04.02.2018,135452,"85,61","85,61",,,Marie
04.02.2018,135453,"22,1",,,"22,1",Marie
04.02.2018,135454,"84,3",,"84,3",,Anna
04.02.2018,135455,"20,8","20,8",,,Anna
04.02.2018,135456,"75,77",,"75,77",,Marie
05.02.2018,135457,"15,77","15,77",,,Anna
05.02.2018,135458,"29,93","29,93",,,Alex
05.02.2018,135459,"44,83","44,83",,,Alex
05.02.2018,135460,"90,31","90,31",,,Alex
05.02.2018,135461,"115,54","115,54",,,Marie
05.02.2018,135462,"114,5","114,5",,,Anna
05.02.2018,135463,"79,13","79,13",,,Marie
05.02.2018,135464,"63,81",,"63,81",,Marie
05.02.2018,135465,"50,32","50,32",,,Marie
05.02.2018,135466,"8,8",,,"8,8",Marie
05.02.2018,135467,"38,58","38,58",,,Alex
05.02.2018,135468,"78,78","78,78",,,Anna
05.02.2018,135469,"7,8",,"7,8",,Anna
05.02.2018,135470,"84,12","84,12",,,Anna
05.02.2018,135471,"27,75","27,75",,,Anna
05.02.2018,135472,"23,42",,"23,42",,Alex
05.02.2018,135473,"47,36","47,36",,,Alex
05.02.2018,135474,"61,88",,"61,88",,Alex
05.02.2018,135475,"90,88","90,88",,,Marie
05.02.2018,135476,"93,17",,"93,17",,Marie
05.02.2018,135477,"99,19","99,19",,,Marie
05.02.2018,135478,"116,13","116,13",,,Marie
05.02.2018,135479,"63,18","63,18",,,Marie
05.02.2018,135480,"83,41","83,41",,,Marie
05.02.2018,135481,"87,21","87,21",,,Marie
05.02.2018,135482,"36,46",,"36,46",,Anna
05.02.2018,135483,"43,6","43,6",,,Anna
05.02.2018,135484,"85,21",,"85,21",,Marie
05.02.2018,135485,"8,39",,"8,39",,Anna
05.02.2018,135486,"45,95","45,95",,,Alex
05.02.2018,135487,"82,45","82,45",,,Alex
05.02.2018,135488,"61,56","61,56",,,Alex
05.02.2018,135489,"11,62","11,62",,,Marie
05.02.2018,135490,"5,68","5,68",,,Anna
05.02.2018,135491,"103,9",,"103,9",,Marie
05.02.2018,135492,"61,57",,"61,57",,Marie
05.02.2018,135493,"59,39",,"59,39",,Marie
05.02.2018,135494,"23,93",,,"23,93",Marie
05.02.2018,135495,"104,98","104,98",,,Alex
05.02.2018,135496,"76,54","76,54",,,Anna
05.02.2018,135497,"63,37",,"63,37",,Anna
05.02.2018,135498,"71,04","71,04",,,Anna
05.02.2018,135499,"61,34","61,34",,,Anna
06.02.2018,135500,"69,39","69,39",,,Alex
06.02.2018,135501,"13,58","13,58",,,Alex
06.02.2018,135502,"99,17","99,17",,,Alex
06.02.2018,135503,"93,28",,"93,28",,Marie
06.02.2018,135504,"66,13","66,13",,,Marie
06.02.2018,135505,"13,23","13,23",,,Marie
06.02.2018,135506,"71,8",,"71,8",,Marie
06.02.2018,135507,"44,51",,"44,51",,Marie
06.02.2018,135508,"13,57",,"13,57",,Marie
06.02.2018,135509,"10,17","10,17",,,Marie
06.02.2018,135510,"63,1","63,1",,,Anna
06.02.2018,135511,"52,13","52,13",,,Anna
06.02.2018,135512,"97,8","97,8",,,Marie
06.02.2018,135513,"84,82","84,82",,,Anna
06.02.2018,135514,"89,08","89,08",,,Alex
06.02.2018,135515,"46,69","46,69",,,Alex
06.02.2018,135516,"77,53","77,53",,,Alex
06.02.2018,135517,"6,25","6,25",,,Marie
06.02.2018,135518,"47,19","47,19",,,Anna
06.02.2018,135519,"7,5","7,5",,,Marie
06.02.2018,135520,"53,87","53,87",,,Marie
06.02.2018,135521,"48,96",,"48,96",,Marie
06.02.2018,135522,"44,25","44,25",,,Marie
06.02.2018,135523,"84,68","84,68",,,Alex
06.02.2018,135524,"23,36",,"23,36",,Anna
06.02.2018,135525,"86,37","86,37",,,Anna
06.02.2018,135526,"2,99",,,"2,99",Anna
06.02.2018,135527,"7,16",,,"7,16",Anna
06.02.2018,135528,"101,96","101,96",,,Alex
06.02.2018,135529,"43,91",,,"43,91",Alex
06.02.2018,135530,"43,63",,"43,63",,Alex
06.02.2018,135531,"77,77",,"77,77",,Marie
06.02.2018,135532,"117,51","117,51",,,Marie
06.02.2018,135533,"72,01","72,01",,,Marie
06.02.2018,135534,"63,21","63,21",,,Marie
06.02.2018,135535,"35,17","35,17",,,Marie
06.02.2018,135536,"14,45","14,45",,,Marie
06.02.2018,135537,"29,4","29,4",,,Marie
06.02.2018,135538,"15,63","15,63",,,Anna
06.02.2018,135539,"64,33","64,33",,,Anna
06.02.2018,135540,"116,81","116,81",,,Marie
06.02.2018,135541,"15,18","15,18",,,Anna
06.02.2018,135542,"3,09","3,09",,,Alex
06.02.2018,135543,"58,89","58,89",,,Alex
06.02.2018,135544,"36,22",,"36,22",,Alex
07.02.2018,135545,"106,68","106,68",,,Marie
07.02.2018,135546,"91,96","91,96",,,Anna
07.02.2018,135547,"103,58","103,58",,,Marie
07.02.2018,135548,"88,47","88,47",,,Marie
07.02.2018,135549,"61,02",,"61,02",,Marie
07.02.2018,135550,"117,52","117,52",,,Marie
07.02.2018,135551,"18,24","18,24",,,Alex
07.02.2018,135552,"93,42","93,42",,,Anna
07.02.2018,135553,"11,85",,,"11,85",Anna
07.02.2018,135554,"63,35","63,35",,,Anna
07.02.2018,135555,"65,46","65,46",,,Anna
07.02.2018,135556,"98,21","98,21",,,Alex
07.02.2018,135557,"58,84",,"58,84",,Alex
07.02.2018,135558,"21,59","21,59",,,Alex
07.02.2018,135559,"23,32",,"23,32",,Marie
07.02.2018,135560,"1,82","1,82",,,Marie
07.02.2018,135561,"43,71",,,"43,71",Marie
07.02.2018,135562,"63,95","63,95",,,Marie
07.02.2018,135563,"119,2",,"119,2",,Marie
07.02.2018,135564,"20,05",,"20,05",,Marie
07.02.2018,135565,"37,1","37,1",,,Marie
07.02.2018,135566,"71,9","71,9",,,Anna
07.02.2018,135567,"68,99","68,99",,,Anna
07.02.2018,135568,"101,13","101,13",,,Marie
07.02.2018,135569,"102,36","102,36",,,Anna
07.02.2018,135570,"38,52",,"38,52",,Alex
07.02.2018,135571,"23,48","23,48",,,Alex
07.02.2018,135572,"107,43","107,43",,,Alex
07.02.2018,135573,"27,28","27,28",,,Marie
07.02.2018,135574,"80,14","80,14",,,Anna
07.02.2018,135575,"105,97","105,97",,,Marie
07.02.2018,135576,"25,22",,"25,22",,Marie
08.02.2018,135577,"46,89","46,89",,,Marie
08.02.2018,135578,"11,32","11,32",,,Marie
08.02.2018,135579,"11,06",,"11,06",,Alex
08.02.2018,135580,"106,67",,"106,67",,Anna
08.02.2018,135581,"77,49",,"77,49",,Anna
08.02.2018,135582,"38,45",,"38,45",,Anna
08.02.2018,135583,"23,73","23,73",,,Anna
08.02.2018,135584,"64,61","64,61",,,Alex
08.02.2018,135585,"51,02","51,02",,,Alex
08.02.2018,135586,"83,04",,"83,04",,Alex
08.02.2018,135587,"51,74",,"51,74",,Marie
08.02.2018,135588,"94,32","94,32",,,Marie
08.02.2018,135589,"12,78","12,78",,,Marie
08.02.2018,135590,"98,68","98,68",,,Marie
08.02.2018,135591,86,86,,,Marie
08.02.2018,135592,"21,28","21,28",,,Marie
08.02.2018,135593,"12,46",,,"12,46",Marie
08.02.2018,135594,"97,94",,"97,94",,Anna
08.02.2018,135595,"13,11",,,"13,11",Anna
08.02.2018,135596,"71,23",,"71,23",,Marie
08.02.2018,135597,"5,22",,,"5,22",Anna
08.02.2018,135598,"26,12",,"26,12",,Alex
08.02.2018,135599,"96,6",,"96,6",,Alex
08.02.2018,135600,"66,97",,"66,97",,Alex
08.02.2018,135601,"114,2",,"114,2",,Marie
08.02.2018,135602,"63,33","63,33",,,Anna
08.02.2018,135603,"117,41","117,41",,,Marie
08.02.2018,135604,"29,8","29,8",,,Marie
08.02.2018,135605,"7,06",,"7,06",,Marie
08.02.2018,135606,"95,09",,"95,09",,Marie
08.02.2018,135607,"16,89","16,89",,,Alex
08.02.2018,135608,"86,43","86,43",,,Anna
08.02.2018,135609,"41,57","41,57",,,Anna
08.02.2018,135610,"14,85","14,85",,,Anna
08.02.2018,135611,"39,15","39,15",,,Anna
08.02.2018,135612,"84,34","84,34",,,Alex
08.02.2018,135613,"34,31","34,31",,,Alex
08.02.2018,135614,"103,58","103,58",,,Alex
08.02.2018,135615,"102,84","102,84",,,Marie
08.02.2018,135616,"4,72","4,72",,,Marie
08.02.2018,135617,"76,96","76,96",,,Marie
08.02.2018,135618,"28,55","28,55",,,Marie
09.02.2018,135619,"86,96","86,96",,,Marie
09.02.2018,135620,"107,21","107,21",,,Marie
09.02.2018,135621,"89,56","89,56",,,Marie
09.02.2018,135622,"113,21","113,21",,,Anna
09.02.2018,135623,24,24,,,Anna
09.02.2018,135624,"96,15","96,15",,,Marie
09.02.2018,135625,"70,48","70,48",,,Anna
09.02.2018,135626,"75,96","75,96",,,Alex
09.02.2018,135627,"5,5","5,5",,,Alex
09.02.2018,135628,"71,58","71,58",,,Alex
09.02.2018,135629,"8,83",,,"8,83",Marie
09.02.2018,135630,"24,88","24,88",,,Anna
09.02.2018,135631,"9,57","9,57",,,Marie
09.02.2018,135632,"6,19","6,19",,,Marie
09.02.2018,135633,"107,44","107,44",,,Marie
09.02.2018,135634,"25,54",,"25,54",,Marie
09.02.2018,135635,"27,32","27,32",,,Alex
09.02.2018,135636,"56,99","56,99",,,Anna
09.02.2018,135637,"29,58","29,58",,,Anna
09.02.2018,135638,"77,83","77,83",,,Anna
09.02.2018,135639,"70,59","70,59",,,Anna
09.02.2018,135640,"83,96","83,96",,,Alex
09.02.2018,135641,"66,84","66,84",,,Alex
09.02.2018,135642,"106,79",,"106,79",,Alex
09.02.2018,135643,"51,57",,"51,57",,Marie
09.02.2018,135644,"35,26","35,26",,,Marie
09.02.2018,135645,"17,95","17,95",,,Marie
09.02.2018,135646,"14,58","14,58",,,Marie
09.02.2018,135647,"51,79",,"51,79",,Marie
09.02.2018,135648,"116,02","116,02",,,Marie
09.02.2018,135649,"116,92","116,92",,,Marie
09.02.2018,135650,"39,6","39,6",,,Anna
09.02.2018,135651,"21,37",,"21,37",,Anna
09.02.2018,135652,"94,3","94,3",,,Marie
09.02.2018,135653,"52,05","52,05",,,Anna
09.02.2018,135654,"78,93","78,93",,,Alex
09.02.2018,135655,"117,42",,"117,42",,Alex
09.02.2018,135656,"13,58","13,58",,,Alex
09.02.2018,135657,"98,78","98,78",,,Marie
09.02.2018,135658,"69,62","69,62",,,Anna
10.02.2018,135659,"11,6","11,6",,,Marie
10.02.2018,135660,"24,14","24,14",,,Marie
10.02.2018,135661,"112,99",,"112,99",,Marie
10.02.2018,135662,"5,41","5,41",,,Marie
10.02.2018,135663,"114,73","114,73",,,Alex
10.02.2018,135664,"11,94","11,94",,,Anna
10.02.2018,135665,"43,18","43,18",,,Anna
10.02.2018,135666,"3,87","3,87",,,Anna
10.02.2018,135667,"29,52","29,52",,,Anna
10.02.2018,135668,"24,29","24,29",,,Alex
10.02.2018,135669,"115,1","115,1",,,Alex
10.02.2018,135670,"93,74",,"93,74",,Alex
10.02.2018,135671,"72,36","72,36",,,Marie
10.02.2018,135672,"98,84",,"98,84",,Marie
10.02.2018,135673,"24,03",,,"24,03",Marie
10.02.2018,135674,"113,86","113,86",,,Marie
10.02.2018,135675,"66,34",,"66,34",,Marie
10.02.2018,135676,"93,9",,"93,9",,Marie
10.02.2018,135677,32,32,,,Marie
10.02.2018,135678,"38,37",,"38,37",,Anna
10.02.2018,135679,"63,46","63,46",,,Anna
10.02.2018,135680,"21,1","21,1",,,Marie
10.02.2018,135681,"44,94","44,94",,,Anna
10.02.2018,135682,"9,2","9,2",,,Alex
10.02.2018,135683,"109,82","109,82",,,Alex
10.02.2018,135684,"31,53","31,53",,,Alex
10.02.2018,135685,"16,14","16,14",,,Marie
10.02.2018,135686,"43,34","43,34",,,Anna
10.02.2018,135687,"96,73",,"96,73",,Marie
10.02.2018,135688,"104,38",,"104,38",,Marie
10.02.2018,135689,"95,51","95,51",,,Marie
10.02.2018,135690,"101,19","101,19",,,Marie
10.02.2018,135691,"103,5","103,5",,,Alex
10.02.2018,135692,"44,36","44,36",,,Anna
10.02.2018,135693,"57,62","57,62",,,Anna
10.02.2018,135694,"114,15",,"114,15",,Anna
10.02.2018,135695,"107,34",,"107,34",,Anna
10.02.2018,135696,"30,57",,"30,57",,Alex
11.02.2018,135697,"118,48","118,48",,,Alex
11.02.2018,135698,"106,75","106,75",,,Alex
11.02.2018,135699,"111,67","111,67",,,Marie
11.02.2018,135700,"35,66","35,66",,,Marie
11.02.2018,135701,"87,84","87,84",,,Marie
11.02.2018,135702,"5,08","5,08",,,Marie
11.02.2018,135703,"94,79","94,79",,,Marie
11.02.2018,135704,"49,02","49,02",,,Marie
11.02.2018,135705,"80,11","80,11",,,Marie
11.02.2018,135706,"75,32","75,32",,,Anna
11.02.2018,135707,"13,38","13,38",,,Anna
11.02.2018,135708,"84,12","84,12",,,Marie
11.02.2018,135709,"80,23","80,23",,,Anna
11.02.2018,135710,"14,79","14,79",,,Alex
11.02.2018,135711,"81,16",,"81,16",,Alex
11.02.2018,135712,"62,65","62,65",,,Alex
11.02.2018,135713,"47,13","47,13",,,Marie
11.02.2018,135714,"68,18","68,18",,,Anna
11.02.2018,135715,"64,9","64,9",,,Marie
11.02.2018,135716,"44,21","44,21",,,Marie
11.02.2018,135717,"50,25","50,25",,,Marie
11.02.2018,135718,"23,69",,"23,69",,Marie
11.02.2018,135719,"99,97","99,97",,,Alex
11.02.2018,135720,"23,02","23,02",,,Anna
11.02.2018,135721,"79,63",,"79,63",,Anna
11.02.2018,135722,"30,43","30,43",,,Anna
11.02.2018,135723,"50,95","50,95",,,Anna
11.02.2018,135724,"51,32","51,32",,,Alex
11.02.2018,135725,"46,44","46,44",,,Alex
11.02.2018,135726,"79,61","79,61",,,Alex
11.02.2018,135727,"10,86","10,86",,,Marie
11.02.2018,135728,"47,98","47,98",,,Marie
11.02.2018,135729,"9,71","9,71",,,Marie
11.02.2018,135730,"115,5","115,5",,,Marie
11.02.2018,135731,"19,09",,"19,09",,Marie
11.02.2018,135732,56,56,,,Marie
12.02.2018,135733,"19,19",,,"19,19",Marie
12.02.2018,135734,"58,84","58,84",,,Anna
12.02.2018,135735,"38,73","38,73",,,Anna
12.02.2018,135736,"35,19","35,19",,,Marie
12.02.2018,135737,"49,34","49,34",,,Anna
12.02.2018,135738,"55,96","55,96",,,Alex
12.02.2018,135739,"40,57","40,57",,,Alex
12.02.2018,135740,"115,61","115,61",,,Alex
12.02.2018,135741,"99,65","99,65",,,Marie
12.02.2018,135742,"35,5","35,5",,,Anna
12.02.2018,135743,"28,53","28,53",,,Marie
12.02.2018,135744,"29,61","29,61",,,Marie
12.02.2018,135745,"91,46","91,46",,,Marie
12.02.2018,135746,"81,94","81,94",,,Marie
12.02.2018,135747,"81,36","81,36",,,Alex
12.02.2018,135748,"44,72","44,72",,,Anna
12.02.2018,135749,"80,48","80,48",,,Anna
12.02.2018,135750,"59,59","59,59",,,Anna
12.02.2018,135751,"24,38","24,38",,,Anna
12.02.2018,135752,"74,69","74,69",,,Alex
12.02.2018,135753,"111,97",,"111,97",,Alex
12.02.2018,135754,"37,81",,"37,81",,Alex
12.02.2018,135755,"56,51","56,51",,,Marie
12.02.2018,135756,"64,47",,"64,47",,Marie
12.02.2018,135757,"98,17","98,17",,,Marie
12.02.2018,135758,"119,6","119,6",,,Marie
12.02.2018,135759,"78,39",,"78,39",,Marie
12.02.2018,135760,"49,74","49,74",,,Marie
12.02.2018,135761,"106,46","106,46",,,Marie
12.02.2018,135762,"106,3",,"106,3",,Anna
12.02.2018,135763,"24,19",,"24,19",,Anna
13.02.2018,135764,"14,6",,,"14,6",Marie
13.02.2018,135765,"96,14",,,"96,14",Anna
13.02.2018,135766,"52,37","52,37",,,Alex
13.02.2018,135767,"76,56","76,56",,,Alex
13.02.2018,135768,"4,82","4,82",,,Alex
13.02.2018,135769,"75,86","75,86",,,Marie
13.02.2018,135770,"19,4","19,4",,,Anna
13.02.2018,135771,"101,18",,"101,18",,Marie
13.02.2018,135772,"87,87","87,87",,,Marie
13.02.2018,135773,"4,1","4,1",,,Marie
13.02.2018,135774,"25,06",,"25,06",,Marie
13.02.2018,135775,"84,13","84,13",,,Alex
13.02.2018,135776,"77,53",,"77,53",,Anna
13.02.2018,135777,"118,63","118,63",,,Anna
13.02.2018,135778,"17,97","17,97",,,Anna
13.02.2018,135779,"116,11","116,11",,,Anna
13.02.2018,135780,"73,64","73,64",,,Alex
13.02.2018,135781,"17,36","17,36",,,Alex
13.02.2018,135782,"101,39","101,39",,,Alex
13.02.2018,135783,"21,77","21,77",,,Marie
13.02.2018,135784,"63,79","63,79",,,Marie
13.02.2018,135785,"64,22","64,22",,,Marie
13.02.2018,135786,"103,28","103,28",,,Marie
13.02.2018,135787,"113,95","113,95",,,Marie
13.02.2018,135788,"109,74","109,74",,,Marie
13.02.2018,135789,"94,13","94,13",,,Marie
13.02.2018,135790,"30,89",,"30,89",,Anna
13.02.2018,135791,"115,2","115,2",,,Anna
13.02.2018,135792,"36,71","36,71",,,Marie
13.02.2018,135793,"82,18",,"82,18",,Anna
13.02.2018,135794,"5,83","5,83",,,Alex
14.02.2018,135795,"48,37","48,37",,,Alex
14.02.2018,135796,"63,88","63,88",,,Alex
14.02.2018,135797,"69,89","69,89",,,Marie
14.02.2018,135798,"44,83",,"44,83",,Anna
14.02.2018,135799,"103,16",,"103,16",,Marie
14.02.2018,135800,"42,13","42,13",,,Marie
14.02.2018,135801,"9,05","9,05",,,Marie
14.02.2018,135802,"114,45",,"114,45",,Marie
14.02.2018,135803,"10,69",,,"10,69",Alex
14.02.2018,135804,"94,94",,"94,94",,Anna
14.02.2018,135805,"38,38","38,38",,,Anna
14.02.2018,135806,"114,63",,"114,63",,Anna
14.02.2018,135807,"29,59","29,59",,,Anna
14.02.2018,135808,"71,33","71,33",,,Alex
14.02.2018,135809,"105,32",,"105,32",,Alex
14.02.2018,135810,"88,2",,"88,2",,Alex
14.02.2018,135811,"104,12","104,12",,,Marie
14.02.2018,135812,"45,92",,"45,92",,Marie
14.02.2018,135813,"60,35",,"60,35",,Marie
14.02.2018,135814,"81,18","81,18",,,Marie
14.02.2018,135815,"92,85","92,85",,,Marie
14.02.2018,135816,"39,64",,"39,64",,Marie
14.02.2018,135817,"15,9","15,9",,,Marie
14.02.2018,135818,"57,79","57,79",,,Anna
14.02.2018,135819,"63,5","63,5",,,Anna
14.02.2018,135820,"113,86","113,86",,,Marie
14.02.2018,135821,"90,42","90,42",,,Anna
14.02.2018,135822,"52,38","52,38",,,Alex
14.02.2018,135823,"46,13","46,13",,,Alex
14.02.2018,135824,"33,4","33,4",,,Alex
14.02.2018,135825,"113,34","113,34",,,Marie
14.02.2018,135826,"73,58",,"73,58",,Anna
15.02.2018,135827,"56,27","56,27",,,Marie
15.02.2018,135828,"16,09","16,09",,,Marie
15.02.2018,135829,"114,85","114,85",,,Marie
15.02.2018,135830,"97,81","97,81",,,Marie
15.02.2018,135831,"29,02",,,"29,02",Alex
15.02.2018,135832,"3,79",,,"3,79",Anna
15.02.2018,135833,"103,93","103,93",,,Anna
15.02.2018,135834,"13,46","13,46",,,Anna
15.02.2018,135835,"108,93",,"108,93",,Anna
15.02.2018,135836,"82,23","82,23",,,Alex
15.02.2018,135837,"40,44","40,44",,,Alex
15.02.2018,135838,"105,23","105,23",,,Alex
15.02.2018,135839,"113,83",,"113,83",,Marie
15.02.2018,135840,"53,43","53,43",,,Marie
15.02.2018,135841,"98,03","98,03",,,Marie
15.02.2018,135842,"57,54","57,54",,,Marie
15.02.2018,135843,"96,19","96,19",,,Marie
15.02.2018,135844,"95,01","95,01",,,Marie
15.02.2018,135845,"106,98",,"106,98",,Marie
15.02.2018,135846,"76,49","76,49",,,Anna
15.02.2018,135847,"117,8",,"117,8",,Anna
15.02.2018,135848,"7,84",,"7,84",,Marie
15.02.2018,135849,"32,7","32,7",,,Anna
15.02.2018,135850,"57,15","57,15",,,Alex
15.02.2018,135851,"57,41",,"57,41",,Alex
