warengruppe,artikel,anzahl
<Keine Warengruppe definiert>,Kürbiskernbrot 250g,30
1350 Diverses,Bäcker Frühstück,122
1430 3-Königstag,Königskuchen 8er,123
1320 Pralinés,4er Truffes Classique ,11
<Keine Warengruppe definiert>,Ananas Royal,23
1120 Patisserie,Fruchtschnitte,23
1040 Spezialbrot,Goldkornbrot,112
1120 Patisserie,Vermicelleschnitte,132
1040 Spezialbrot,Grahambrot,29
1300 Spezialitäten,Sirup Passions 450gr,121
1430 3-Königstag,Königskuchen 6er,121
<Keine Warengruppe definiert>,Paillasse-Sandwich mit Schinken,112
1150 Hefe Gebäcke,Apfel - Berliner,153
1150 Hefe Gebäcke,Blechkuchen,122
1000 Brot Gross,Halbweissbrot 250g,123
<Keine Warengruppe definiert>,Panini vegetarisch TS,131
1040 Spezialbrot,Dinkelbrot kg,112
1000 Brot Gross,Landbrot 500g,78
1090 Mittagsmenues,Suppe klein m. Brot,90
1220 Canapés,Mini-Canapé Lachs,67
1100 Mini Sachen,Grahambrötchen,55
1090 Mittagsmenues,Bratwurst,198
<Keine Warengruppe definiert>,Brezel,200
1000 Brot Gross,Baguette,201
1330 Konfekt,Karamellwürfel,23
1330 Konfekt,Bahnschienen,69
<Keine Warengruppe definiert>,Tomatensuppe,90
1080 Zöpfe,Butterzopf 700g,99
<Keine Warengruppe definiert>,Rotkrautsuppe,46
1150 Hefe Gebäcke,Nussstange,78
<Keine Warengruppe definiert>,Cole-Slowsalat,64
1150 Hefe Gebäcke,Schnecke,67
1000 Brot Gross,Kartoffelbrot 1000g,79
1940 Weihnachtsguezli / Teig,Zimtstern Weihnachten,86
1140 Trockenstückli,Keks marmoriert,46
1940 Weihnachtsguezli / Teig,Honigstern,67
1220 Canapés,Thon Canapé,58
1220 Canapés,Salami Sandwich,87
1120 Patisserie,Baileys-Mousse,90
1040 Spezialbrot,Nussbrot,76
1040 Spezialbrot,Alpenbrot (Monatsbrot),123
1040 Spezialbrot,Dinkelbrot,33
1090 Mittagsmenues,Wähen,121
1100 Mini Sachen,Dinkelbrötchen,24
1040 Spezialbrot,Paraformbrot,123
<Keine Warengruppe definiert>,Weisses Schokoladen Mousse,144
1040 Spezialbrot,Knebelbrot,23
1120 Patisserie,Maroni Püree,122
<Keine Warengruppe definiert>,Brombeer Mousse,29
1040 Spezialbrot,Fastenbrot,124
1120 Patisserie,Himbeer - Mousse ,155
1100 Mini Sachen,Zopftier,21
1100 Mini Sachen,Pausenbrötchen,24
1040 Spezialbrot,Kürbiskernen - Grahambrot,124
<Keine Warengruppe definiert>,Chiabrot,12
<Keine Warengruppe definiert>,Mini-Canapé Antipasti,78
1070 Getränke,Apfelsaft,64
1140 Trockenstückli,Küche Drucker,75
<Keine Warengruppe definiert>,Kiwi Tortenstück,86
<Keine Warengruppe definiert>,Kirschen Quark,78
1100 Mini Sachen,Buttercroissant,76
1250 Wähen,Käse,45
1150 Hefe Gebäcke,Mandelstange,144
<Keine Warengruppe definiert>,Paniermehl,23
1100 Mini Sachen,Wecke2,122
1440 Samichlaus,Grittibänz klein,29
1150 Hefe Gebäcke,Vanille-Plunder,124
1100 Mini Sachen,Paraformbrötchen,155
1130 Aperogebäck,Petit Four Erdbeertörtchen,21
1940 Weihnachtsguezli / Teig,"Spitzbuben Weihnachten, Himbeer gross",24
1130 Aperogebäck,Petit Four Schwedentörtchen,124
<Keine Warengruppe definiert>,Petit Four Pâte à Choux,12
1130 Aperogebäck,Petit Four Schwarzwälder,78
1070 Getränke,Milch 1Liter,64
1940 Weihnachtsguezli / Teig,Mailänderli gross,75
1150 Hefe Gebäcke,Pflaumenkuchen,86
1940 Weihnachtsguezli / Teig,Brunsli gross,122
1140 Trockenstückli,Schokoladenring,123
1130 Aperogebäck,Petit Four Schokokuss,131
1100 Mini Sachen,5-Korn Brötchen,112
1100 Mini Sachen,Knebelbrötchen,78
1340 Apéro,Midi-Apéro Schinkengipfel,90
1100 Mini Sachen,Laugenbrezel,67
1100 Mini Sachen,Körnerbrötchen,55
1100 Mini Sachen,Maisbrötchen,198
1100 Mini Sachen,Rusticobrötchen,200
<Keine Warengruppe definiert>,Butterzopf klein,201
1150 Hefe Gebäcke,Himbeer Berliner,23
<Keine Warengruppe definiert>,Mango,69
1100 Mini Sachen,Zick Zack Wecke,122
1240 Salate / Birchermüesli,Birchermüsli rot 250gr.,123
<Keine Warengruppe definiert>,Zitrone,131
<Keine Warengruppe definiert>,Stracciatella,112
<Keine Warengruppe definiert>,Vanille,78
1100 Mini Sachen,Laugenbrötchen,90
1240 Salate / Birchermüesli,Birchermüsli hell 250gr. ,67
1080 Zöpfe,Butterzopf klein 300g,55
1140 Trockenstückli,Spitzbub,198
1070 Getränke,Ice Tea,200
<Keine Warengruppe definiert>,Schokolade,201
1140 Trockenstückli,Haselnussecke,23
<Keine Warengruppe definiert>,Erdbeere,69
